location_id,belongs_to,totala
19481,2011-01-01,7726.57
19481,2011-01-02,6372.92
19481,2011-01-03,9316.48
19481,2011-01-04,7699.63
19481,2011-01-05,8130.77
19481,2011-01-06,7669.89
19481,2011-01-07,8386.59
19481,2011-01-08,8518.01
19481,2011-01-09,7666.46
19481,2011-01-10,8235.9
19481,2011-01-11,6453.83
19481,2011-01-12,7842.92
19481,2011-01-13,6857.04
19481,2011-01-14,7721.13
19481,2011-01-15,7826.23
19481,2011-01-16,6898.54
19481,2011-01-17,7376.42
19481,2011-01-18,6751.73
19481,2011-01-19,6801.79
19481,2011-01-20,7300.62
19481,2011-01-21,6923.13
19481,2011-01-22,8033
19481,2011-01-23,7340.04
19481,2011-01-24,7328.91
19481,2011-01-25,6262.62
19481,2011-01-26,7412.9
19481,2011-01-27,6623.43
19481,2011-01-28,6917.1
19481,2011-01-29,6886.89
19481,2011-01-30,6849.35
19481,2011-01-31,10457.03
19481,2011-02-01,9907.36
19481,2011-02-02,7428.42
19481,2011-02-03,6492.87
19481,2011-02-04,9840.26
19481,2011-02-05,10967.69
19481,2011-02-06,8435.4
19481,2011-02-07,8327.87
19481,2011-02-08,7585.6
19481,2011-02-09,6967.7
19481,2011-02-10,7744.34
19481,2011-02-11,7307.78
19481,2011-02-12,8701.63
19481,2011-02-13,7894.64
19481,2011-02-14,7083.11
19481,2011-02-15,7804.47
19481,2011-02-16,6977.77
19481,2011-02-17,6801.67
19481,2011-02-18,7087.82
19481,2011-02-19,8056.98
19481,2011-02-20,6788.32
19481,2011-02-21,7646.21
19481,2011-02-22,7391.75
19481,2011-02-23,7856.88
19481,2011-02-24,7039.67
19481,2011-02-25,7616.54
19481,2011-02-26,6797.47
19481,2011-02-27,6999.07
19481,2011-02-28,8927.55
19481,2011-03-01,8000.73
19481,2011-03-02,7306.32
19481,2011-03-03,7535.16
19481,2011-03-04,9636.65
19481,2011-03-05,8584.16
19481,2011-03-06,7702.39
19481,2011-03-07,9310.74
19481,2011-03-08,7397.8
19481,2011-03-09,7056.99
19481,2011-03-10,7658.48
19481,2011-03-11,8998.44
19481,2011-03-12,8586.01
19481,2011-03-13,7632.1
19481,2011-03-14,8888.68
19481,2011-03-15,7309.49
19481,2011-03-16,6815.85
19481,2011-03-17,7137.02
19481,2011-03-18,7499.38
19481,2011-03-19,8140.09
19481,2011-03-20,6034.12
19480,2011-03-21,8894.28
19481,2011-03-21,8389.09
19480,2011-03-22,7611.31
19481,2011-03-22,6568.12
19480,2011-03-23,7444.49
19481,2011-03-23,6108.81
19480,2011-03-24,7122.6
19481,2011-03-24,7241.23
19480,2011-03-25,8363.91
19481,2011-03-25,8225.53
19481,2011-03-26,6576.89
19481,2011-03-27,7712.62
19481,2011-03-28,7055.11
19481,2011-03-29,7040.35
19481,2011-03-30,7331.26
19481,2011-03-31,6730.09
19481,2011-04-01,8998.33
19481,2011-04-02,8180.07
19481,2011-04-03,7742.24
19481,2011-04-04,8133.58
19481,2011-04-05,7857.73
19481,2011-04-06,7128.56
19481,2011-04-07,7515.9
19481,2011-04-08,8224.79
19481,2011-04-09,7964.44
19481,2011-04-10,8548.54
19481,2011-04-11,7062.31
19481,2011-04-12,7843.86
19481,2011-04-13,6744.14
19481,2011-04-14,7296.95
19481,2011-04-15,8128.15
19481,2011-04-16,8036.01
19481,2011-04-17,7026.53
19481,2011-04-18,6834.07
19481,2011-04-19,6913.33
19481,2011-04-20,7368.06
19481,2011-04-21,7603.85
19481,2011-04-22,8505.98
19481,2011-04-23,10008.56
19481,2011-04-25,8525.25
19481,2011-04-26,6449.1
19481,2011-04-27,6716.1
19481,2011-04-28,7025.44
19481,2011-04-29,7230.76
19481,2011-04-30,7076.64
19481,2011-05-01,6946.17
19481,2011-05-02,8315.81
19481,2011-05-03,8194.16
19481,2011-05-04,7664.79
19481,2011-05-05,7368.94
19481,2011-05-06,8095.46
19481,2011-05-07,8005.53
19481,2011-05-08,4902.5
19481,2011-05-09,7445.63
19481,2011-05-10,6643.49
19481,2011-05-11,6862.7
19481,2011-05-12,7754.69
19481,2011-05-13,8507.42
19481,2011-05-14,8785.16
19481,2011-05-15,6665.47
19481,2011-05-16,7031.65
19481,2011-05-17,7346.71
19481,2011-05-18,6896.82
19481,2011-05-19,5694.7
19481,2011-05-20,7101.77
19481,2011-05-21,7212.74
19481,2011-05-22,6235.23
19481,2011-05-23,7209.46
19481,2011-05-24,6732.42
19481,2011-05-25,6712.87
19481,2011-05-26,6394.05
19481,2011-05-27,7159.38
19481,2011-05-28,7395.15
19481,2011-05-29,6460.16
19481,2011-05-30,5978.51
19481,2011-05-31,7488.5
19481,2011-06-01,8268
19481,2011-06-02,7393.81
19481,2011-06-03,7146.89
19481,2011-06-04,8798.14
19481,2011-06-05,6052.16
19481,2011-06-06,8165.75
19481,2011-06-07,6717.61
19481,2011-06-08,6727.95
19481,2011-06-09,6912.96
19481,2011-06-10,8580.08
19481,2011-06-11,7820.43
19481,2011-06-12,7211.69
19481,2011-06-13,7728.87
19481,2011-06-14,7394.78
19481,2011-06-15,7233
19481,2011-06-16,6662.03
19481,2011-06-17,7247.01
19481,2011-06-18,7220.66
19481,2011-06-19,6930.6
19481,2011-06-20,6816.05
19481,2011-06-21,6597.09
19481,2011-06-22,6335.84
19481,2011-06-23,6715.14
19481,2011-06-24,6622.93
19481,2011-06-25,6371.89
19481,2011-06-26,6760.57
19481,2011-06-27,6972.35
19481,2011-06-28,6737.94
19481,2011-06-29,6133.9
19481,2011-06-30,7171.93
19481,2011-07-01,9689.05
19481,2011-07-02,7668.82
19481,2011-07-03,7903.74
19481,2011-07-04,5045.5
19481,2011-07-05,8234.16
19481,2011-07-06,7099.47
19481,2011-07-07,8107.65
19481,2011-07-08,7614.98
19481,2011-07-09,6855.47
19481,2011-07-10,5693.19
19481,2011-07-11,8656.06
19481,2011-07-12,7516.03
19481,2011-07-13,7219.84
19481,2011-07-14,6626.55
19481,2011-07-15,7161.18
19481,2011-07-16,7352.16
19481,2011-07-17,6123.67
19481,2011-07-18,7155.74
19481,2011-07-19,6940.78
19481,2011-07-20,6725.98
19481,2011-07-21,6304.39
19481,2011-07-22,7279.64
19481,2011-07-23,7192.6
19481,2011-07-24,6382.36
19481,2011-07-25,7266.49
19481,2011-07-26,6002.98
19481,2011-07-27,6530.6
19481,2011-07-28,6420.94
19481,2011-07-29,7227.5
19481,2011-07-30,7565.37
19481,2011-07-31,5696.44
19481,2011-08-01,9208.25
19481,2011-08-02,7158.58
19481,2011-08-03,7959.97
19481,2011-08-04,7601.5
19481,2011-08-05,6719.05
19481,2011-08-06,7172.53
19481,2011-08-07,7330.97
19481,2011-08-08,7240.47
19481,2011-08-09,7087.91
19481,2011-08-10,6422.22
19481,2011-08-11,7150.18
19481,2011-08-12,7654.53
19481,2011-08-13,7803.97
19481,2011-08-14,6335
19481,2011-08-15,7988.13
19481,2011-08-16,6583.08
19481,2011-08-17,6402.14
19481,2011-08-18,7391.13
19481,2011-08-19,8182.43
19481,2011-08-20,8418.71
19481,2011-08-21,8073
19481,2011-08-22,8045.67
19481,2011-08-23,6497.66
19481,2011-08-24,7103.75
19481,2011-08-25,6578.11
19481,2011-08-26,6889.36
19481,2011-08-27,7763.03
19481,2011-08-28,7669.58
19481,2011-08-29,7100.71
19481,2011-08-30,6190.83
19481,2011-08-31,7364.52
19481,2011-09-01,8877.59
19481,2011-09-02,8787.95
19481,2011-09-03,9255.78
19481,2011-09-04,7766.43
19481,2011-09-05,7807.36
19481,2011-09-06,8947.94
